days,date,y_zeta_0.001,y_zeta_0.005,y_zeta_0.009,y_zeta_0.012,y_zeta_0.016,y_zeta_0.02
1,01/03/2020,0,0,0,0,0,0
2,02/03/2020,0,0,0,0,0,0
3,03/03/2020,0,0,0,0,0,0
4,04/03/2020,0,0,0,0,0,0
5,05/03/2020,0,0,0,0,0,0
6,06/03/2020,0,0,0,0,0,0
7,07/03/2020,4.203232267,0.550347307,1.173598279,0.873547312,1.883928668,0.323262737
8,08/03/2020,4.516978902,0.078501064,0.968844583,0.873547312,2.284807722,0.323262737
9,09/03/2020,4.839356288,0.078501064,1.185076683,0.932746709,1.994998935,0.361399714
10,10/03/2020,6.184830475,1.192979053,0.878704761,0.932746709,1.7610967,0.388708608
11,11/03/2020,7.282272326,1.804184306,0.878704761,1.174791354,1.7610967,0.632176248
12,12/03/2020,5.189227822,2.146031294,0.2162321,1.237849551,1.279062224,1.138273714
13,13/03/2020,4.038395616,2.56176866,0.2162321,1.170503335,1.226931792,1.08985547
14,14/03/2020,4.227208005,3.489925724,0.490752509,1.170503335,0.760256514,1.06068316
15,15/03/2020,5.419186748,3.489925724,0.490752509,1.170503335,0.35937746,1.355994722
16,16/03/2020,5.613187356,3.489925724,0.739984653,2.044367951,0.483934317,1.213662376
17,17/03/2020,4.267713169,2.818076386,0.775760816,2.181841122,1.114551962,1.276253527
18,18/03/2020,3.170271318,2.128903141,1.856578864,2.153585556,1.114551962,1.155864166
19,19/03/2020,5.112193183,2.83934946,1.856578864,1.901731688,0.886452937,1.131935632
20,20/03/2020,4.775293962,2.97563117,1.856578864,1.901731688,0.755174502,1.180804391
21,21/03/2020,4.476029602,2.046941034,1.720535385,2.375988488,1.389742898,1.79423229
22,22/03/2020,3.809319282,2.502506258,2.276099158,2.743396603,1.868257415,2.02980571
23,23/03/2020,6.642983191,2.652854221,2.030997254,3.717229918,1.743700557,2.275352133
24,24/03/2020,6.642983191,2.540903864,2.713696661,3.985499499,1.67378301,2.755383688
25,25/03/2020,6.676186907,3.166465353,2.449420724,4.103598524,2.47321327,3.377987194
26,26/03/2020,5.669802943,3.359210034,3.156559788,4.733405085,3.39727902,3.40252997
27,27/03/2020,6.991297819,4.211892846,3.156559788,5.730992881,4.398908287,3.894144059
28,28/03/2020,8.790947853,4.919678263,4.277781083,6.153453916,4.935276527,4.630298321
29,29/03/2020,9.497984561,6.44151142,5.212220179,7.719411847,5.458209432,5.263133242
30,30/03/2020,8.977804954,7.932675927,6.630938586,7.48733165,6.232569268,6.143280883
31,31/03/2020,10.59338717,8.74602349,7.470492212,9.349231244,7.880705168,7.416634956
32,01/04/2020,12.6097036,11.17360165,8.861855951,11.28557864,9.526171052,8.727188085
33,02/04/2020,12.77183312,12.2533483,11.22528702,13.87852087,11.850534,11.12645864
34,03/04/2020,13.91356468,14.68075674,14.76938953,16.59681055,13.68371512,13.27749565
35,04/04/2020,16.63089472,19.57550263,17.93366371,19.90371476,16.74227461,15.69749744
36,05/04/2020,22.29412211,24.26902053,21.54336472,23.40960255,20.85682066,18.91126276
37,06/04/2020,25.62442887,29.39916577,26.05501456,27.59536528,25.11961095,21.99542591
38,07/04/2020,33.78624673,36.12053448,31.13972937,31.93679708,28.3794957,25.26647959
39,08/04/2020,42.14234904,42.45550812,37.40504603,36.3810567,32.5573762,29.32754497
40,09/04/2020,55.06740074,49.78830174,42.87670262,40.99884134,36.18155864,32.48167385
41,10/04/2020,66.14892703,59.72661785,48.2345343,45.991116,40.86060048,37.00661376
